y_true,y_prob,prediction
0,0.5082227139125536,需人工確認
0,0.607832053529213,需人工確認
1,0.5290617174206741,需人工確認
0,0.44070457624331233,需人工確認
0,0.46119021393252724,需人工確認
1,0.501110486891933,需人工確認
0,0.42531927227647554,需人工確認
1,0.5066140142759472,需人工確認
1,0.5546665014625709,需人工確認
1,0.5553931241330248,需人工確認
1,0.5176233087407613,需人工確認
1,0.4324769887458548,需人工確認
1,0.5458174112569373,需人工確認
1,0.4909095073725121,需人工確認
1,0.4967372839455661,需人工確認
0,0.49839748455190813,需人工確認
0,0.44526459769025595,需人工確認
1,0.5040353427013426,需人工確認
0,0.5388229603717253,需人工確認
1,0.5334664582247833,需人工確認
0,0.42598262010356663,需人工確認
0,0.46004443426996533,需人工確認
1,0.5267168375202382,需人工確認
1,0.458007518773181,需人工確認
0,0.581278150276152,需人工確認
0,0.5245482689455323,需人工確認
1,0.5735052122106417,需人工確認
0,0.557825396106951,需人工確認
1,0.4782745288852382,需人工確認
0,0.474072953853506,需人工確認
0,0.47128533203471445,需人工確認
0,0.5765037599568497,需人工確認
1,0.5494274353045605,需人工確認
0,0.3830417897906045,需人工確認
1,0.5253861147070545,需人工確認
1,0.48756587342366925,需人工確認
0,0.3979587447238046,需人工確認
1,0.5535909226080422,需人工確認
1,0.5265471764510157,需人工確認
0,0.45200752627919705,需人工確認
0,0.5103536286984919,需人工確認
0,0.5246538580754363,需人工確認
1,0.4774071716145085,需人工確認
1,0.5309734306925684,需人工確認
0,0.5590052098938054,需人工確認
1,0.49331925509418945,需人工確認
1,0.4790306011328616,需人工確認
1,0.4441053465638772,需人工確認
1,0.48264367468170194,需人工確認
0,0.508127307512314,需人工確認
1,0.49435236312458786,需人工確認
0,0.523565885287557,需人工確認
0,0.4427371169084796,需人工確認
0,0.5181784082342304,需人工確認
1,0.46533986131241634,需人工確認
1,0.4854525286627861,需人工確認
0,0.5227655225849597,需人工確認
1,0.395047280154905,需人工確認
0,0.40980678234574514,需人工確認
0,0.5860732182951125,需人工確認
0,0.4563472982589448,需人工確認
1,0.5882232429682822,需人工確認
